Semester,Department,Course_Name,,Textbook_Name
S4,BIOMEDICAL,MCN202,,
S5,BIOMEDICAL,BMT301,,"Basha, Mahin. Analytical Techniques in Biochemistry. Humana Press, 2020."
S5,BIOMEDICAL,BMT301,,"Kramme, Rüdiger, and Heike Kramme. ""Technology in Medicine: Its Role and Significance in Terms of Health Policy."" In Springer Handbook of Medical Technology, pp. 3-6. Springer, Berlin, Heidelberg, 2011."
S5,BIOMEDICAL,BMT301,,"Webb, Andrew G. Principles of biomedical instrumentation. Cambridge University Press, 2018."
S5,BIOMEDICAL,BMT303,,"Reddy, D. C. Biomedical signal processing: principles and techniques. McGraw-Hill, 2005."
S5,BIOMEDICAL,BMT303,,"John G Proakis& Dimitris G Manolakis: Digital Signal Processing Principles, Algorithms and Applications, Prentice Hall of India, 2005"
S5,BIOMEDICAL,BMT303,,"Akay, Metin. Biomedical signal processing. Academic press, 2012."
S5,BIOMEDICAL,BMT305,,"Brindley, Keith. Sensors and transducers. CRC Press ILlc, 1988."
S5,BIOMEDICAL,BMT305,,"Webster, John G., ed. Medical instrumentation: application and design. John Wiley & Sons, 2009."
S5,BIOMEDICAL,BMT305,,"RS CCobbold, Transducers for BiomedicalInstruments,JohnWiley&Sons,1974"
S5,BIOMEDICAL,BMT307,,"Fausett, Laurene V. Fundamentals of neural networks: architectures, algorithms and applications. Pearson Education India, 2006"
S5,BIOMEDICAL,BMT307,,"Rajasekaran, Sanguthevar, and GA Vijayalakshmi Pai. Neural networks, fuzzy logic and genetic algorithm: synthesis and applications (with cd). PHI Learning Pvt. Ltd., 2003.."
S5,BIOMEDICAL,BMT307,,"CharuC.Aggarwal “Neural Networks and Deep learning” Springer International Publishing, 2018"
S5,BIOMEDICAL,HUT300,,
S5,BIOMEDICAL,HUT310,,
S5,BIOMEDICAL,MCN301,,
S6,BIOMEDICAL,BMT302,,"Vladimir M. Zatsiorsky and Boris I. Prilutsky, Biomechanics of Skeletal Muscles, Human Kinetics, 2012."
S6,BIOMEDICAL,BMT302,,"Susan J. Hall, Basic Biomechanics, McGraw-Hill, 6th ed, 2012."
S6,BIOMEDICAL,BMT302,,"Irving P. Herman, Physics of the Human Body, Springer-Verlag Berlin Heidelberg, 2007."
S6,BIOMEDICAL,BMT304,,"Bronzino, Joseph D., and Donald R. Peterson. Biomedical engineering fundamentals. CRC press, 2014."
S6,BIOMEDICAL,BMT304,,"Kramme, Rüdiger, Klaus-Peter Hoffmann, and Robert Steven Pozos, eds. Springer handbook of medical technology. Springer Science & Business Media, 2011."
S6,BIOMEDICAL,BMT304,,"Lei, Yuan. Medical Ventilator System Basics: A Clinical Guide. Oxford University Press, 2017."
S6,BIOMEDICAL,BMT306,,"Hoskins, Peter R., Kevin Martin, and Abigail Thrush, eds. Diagnostic ultrasound Physics and Equipment CRC Press 2019"
S6,BIOMEDICAL,BMT306,,"M Flower, Webb’s Physics of Medical Imaging, Taylor & Francis, 2016."
S6,BIOMEDICAL,BMT306,,"Shah, N. Jon, ed. Hybrid MR-PET Imaging: Systems, Methods and Applications, Royal Society of Chemistry 2018."
S7,BIOMEDICAL,BMT401,,"Jain Anil K, Fundamentals of Digital Image Processing, Prentice Hall of India. 1989"
S7,BIOMEDICAL,BMT401,,"Gonzalez Rafel C, Woods Richard E, Digital Image Processing, 4th ed. Pearson. 2018"
S7,BIOMEDICAL,MCN401,,
S8,BIOMEDICAL,BMT402,,"John G Webster, Encyclopedia of Medical Devices and Instrumentation, Hoboken, NJ, 2nd Edition, 2006"
S8,BIOMEDICAL,BMT402,,"James M Anderson, Biological Responses to Materials, Annual Review of Materials Research, 2001"
S8,BIOMEDICAL,BMT402,,"Donald L. Wise, Biomaterials And Bioengineering Handbook Hardcover, Taylor & Francis, 2000"
